"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1964",,,"158",,"158","0","181","0","85","0","147",,"43","0","26","0","175","0","94","0","67","0","0","0","-16","0,0112,","25",",0,0228,+","11.8",",0,0305,","1.35",",0,1128,","89","0,0629,","8709",,"8709","0","32.76",",0","157.3",",0","40.5","0","49.4","0","31.5","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1965",,,"44",,"44","0","182","0","98","0","153",,"44","0","28","0","183","0","88","0","61","0","0","0","-27","0,0114,","33",",0,0223,","7.8",",0,0212,+","1.80",",0,0721,","87","0,0814,","9553",,"9553","0","43.01",",0","146.7",",0","38.9","0","47.5","0","30.3","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1966",,,"191",,"191","0","185","0","94","0","118",,"35","0","27","0","185","0","88","0","83","0","3","0","-20","0,0218,","21",",0,0128,","9.2",",0,0127,","1.17",",0,0929,","94","0,0702,+","9272",,"9272","0","32.84",",0","105.6",",0","40.0","0","48.5","0","31.6","0",,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1967",,,"77",,"77","0","171","0","93","0","139",,"42","0","36","0","203","0","100","0","92","0","0","0","-25","0,0212,+","28",",0,0221,","9.4",",0,0215,","1.77",",0,0807,","86","0,0603,","9620",,"9620","0","32.48",",0","118.0",",0","38.3","0","48.4","0","28.2","0",,,,,,,,,"315","X",,,,,,,,,"34.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1968",,,"128",,"128","0","176","0","90","0","134",,"35","0","37","0","174","0","87","0","82","0","0","0","-28","0,0108,","32",",0,0219,","12.4",",0,0202,","2.19",",0,0822,","89","0,0717,+","9536",,"9536","0","35.72",",0","116.3",",0","39.7","0","49.3","0","30.2","0",,,,,,,,,"270","X",,,,,,,,,"47.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1969",,,"154",,"154","0","161","0","89","0","139",,"35","0","21","0","194","0","92","0","74","0","0","0","-17","0,0101,","25",",0,0118,+","7.0",",0,1027,","2.39",",0,0626,","89","0,0817,","9372",,"9372","0","33.14",",0","100.1",",0","39.5","0","49.0","0","30.0","0",,,,,,,,,"315","X",,,,,,,,,"40.0","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1970",,,"154",,"154","0","154","0","83","0","138",,"37","0","42","0","178","0","106","0","91","0","0","0","-27","0,0213,","30",",0,0129,","9.9",",0,0128,","5.08",",0,0531,","88","0,0813,","9686",,"9686","0","39.20",",0","98.6",",0","38.9","0","48.5","0","29.3","0",,,,,,,,,"315","X",,,,,,,,,"42.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1971",,,"87",,"87","0","175","0","103","0","149",,"44","0","39","0","181","0","99","0","80","0","0","0","-28","0,0202,","33",",0,0131,+","7.1",",0,0328,","1.44",",0,1102,","89","0,0628,","9598",,"9598","0","39.28",",0","148.3",",0","39.0","0","48.4","0","29.5","0",,,,,,,,,"315","X",,,,,,,,,"40.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1972",,,"73",,"73","0","171","0","96","0","155",,"57","0","35","0","184","0","107","0","75","0","0","0","-23","0,0116,","50",",0,0308,","12.2",",0,0125,","1.24",",0,0731,","88","0,0520,","9470",,"9470","0","35.48",",0","190.9",",0","38.3","0","47.4","0","29.2","0",,,,,,,,,"270","X",,,,,,,,,"38.9","X"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.4794","-84.3572","220.1","1973",,,"213",,"213","0","163","0","92","0","110",,"28","0","22","0","158","0","71","0","75","0","1","0","-16","0,0216,","23",",0,0106,+","6.0",",0,1108,","1.32",",0,0501,","93","0,0828,","9033",,"9033","0","36.47",",0","77.6",",0","41.7","0","50.0","0","33.4","0",,,,,,,,,"315","X",,,,,,,,,"38.0","X"
